qid	question	relevant	answers
8519	when was the cathedral of santa maria del fiore built	136	begun in 1296::completed by 1436
852	who plays cassidy on law and order svu	177	Dean Winters
7600	who was the old woman in phantom of the opera	642	Madame Giry
4258	when is the finals of americas got talent 2017	781	September 20 , 2017
8272	who played the frog in gnomeo and juliet	1018	Ashley Jensen
3026	who plays barry allen in justice league movie	1070	Ezra Miller
3333	when is season 2 of daredevil coming to netflix	1195	March 18 , 2016
4197	when does the 12th day of christmas begin	1262	25 December
2782	who plays candle in beauty and the beast	1329	Ewan McGregor
4679	what is the current strength of lok sabha	1541	545
3778	when was the bellagio in las vegas built	1739	1998
4144	who dies at the end of dear john	1759	Tim
2813	who had the highest approval rating as president	1846	Kennedy
4516	who plays the daughter in santa clarita diet	1855	Liv Hewson
6894	who is the chairman of the house ethics committee	2174	Susan Brooks
6157	where is game 7 of the world series played	2337	Dodger Stadium
2925	who is the present chief minister of up	2372	Yogi Adityanath
3996	what is the meaning of the latin word camera obscura	2711	dark room
3594	if the supreme court declares a law unconstitutional they are exercising what principle	2789	judicial review
4892	where is the continental divide on i 70	2943	The Eisenhower Tunnel
6639	who does the voice for maui in moana	3121	Dwayne Johnson
6348	when did fresh prince of bel air start	3165	September 10 , 1990
6551	who is captain miller in saving private ryan	3223	Tom Hanks
5456	when did the radio became a household item	3268	mid-1922
8225	who became chief justice of the supreme court after serving as president	3578	William Howard Taft
3675	who was the governor of new york during 9/11	3678	George Elmer Pataki
6192	when do abby and luka get back together	4135	season 12
6128	is a bannana a fruit or a herb	4256	fruit
8429	when do danny and riley get back together in season 5	4431	Ben - Semination
7639	when did the new ten pound notes come out	4632	14 September 2017
201	who will get relegated from the premier league 2016/17	4814	Middlesbrough::Sunderland::Hull City
981	who sings just shut up and dance with me	4855	Walk the Moon
3629	who wrote the song i dont know my name	5055	VanderWaal
8478	aurangzeb road in the heart of new delhi was re named after which personality	5263	Dr APJ Abdul Kalam
1786	what kind of meat is on a t-bone	5267	beef
5257	who is danica patrick racing for at indy	5463	Ed Carpenter Racing
3641	population of the roman empire at its peak	5594	60 -- 70 million
6503	who voices jimmy in f is for family	5680	Mo Collins
4596	who thought of the 40 hour work week	5714	James Deb
2127	who has hosted the most saturday night live shows	5747	Alec Baldwin
8687	who inspired the title of a raisin in the sun	5759	Langston Hughes
2519	who played cory on cory in the house	5812	Kyle Massey
2662	all praise is due to allah in arabic	5959	Al - ḥamdu lillāh
6172	when did the first iditarod race take place	6144	1973
2778	who is singing the national anthem at super bowl 51	6184	Luke Bryan
573	who was the first test captain of india	6333	CK Nayudu
2035	when does drag race all stars 3 premiere	6375	January 25 , 2018
825	how many laps around the track is 5000 m	6456	12.5
2014	what does the nz national party stand for	6521	The New Zealand National Party
1670	when did how to train a dragon come out	6552	2010
6340	where was the setting for friday the 13th	6639	Camp Crystal Lake
2701	what year does the movie the prestige take place	6710	1890s
7319	who sings the song spooky little girl like you	6847	Classics IV
2	where do the great lakes meet the ocean	6910	the Saint Lawrence River
37	what is the horses name in never-ending story	7071	Artax
1599	when was the last time michigan was in the elite eight	7088	2018
4556	where did this too shall pass come from	7471	Persian Sufi poets
3696	who developed the first alternating current electric system	7529	Nikola Tesla
7300	the second energy level can hold how many electrons	7538	eight
3913	when was the stratosphere hotel built in las vegas	7579	1996
2165	when did the tournament of power arc start	7729	February 5 , 2017
2456	what is the average income in czech republic	7831	CZK 23,859
7292	who played the joker on the original batman tv show	7862	Cesar Romero
5230	actor who played cass winthrop on another world	8049	Schnetzer
4018	who wrote the song the last full measure of devotion	8053	Robert Edward Jager
7906	when does stefan come back to mystic falls in season 3	8404	`` Disturbing Behavior ''
2548	when is american woman going to be on	8492	June 28 , 2018
6906	what is the french word for french toast	8519	pain perdu
7387	when does luke cage season 2 come to netflix	8572	June 22 , 2018
8383	who has scored the most goals ever in the premier league	8888	Alan Shearer
1658	5 largest cities by population in the us	9392,9393	Los Angeles::New York::Chicago::Houston::Phoenix
2005	who came up with the rule no work no eat	9478	Paul the Apostle
4877	is pearl from spongebob a whale or shark	9581	a whale
1990	who plays the white queen in alice through the looking glass	9618	Anne Hathaway
1652	when did the fur trade began in canada	9628	17th century
5131	when did kiss me kate open on broadway	9730	1948
2720	who was the song night shift dedicated to	9900	Jackie Wilson and Marvin Gaye
2611	who was the first person to be legally executed using an electric chair	10491	William Francis Kemmler
729	what do you call a group of jelly fish	10523	a bloom or a swarm
1580	where is the headquarters for the organization that maintains si standards	10822	Sèvres , France
7528	when did the us join world war one	10828	April 6 , 1917
5031	who does freddie highmore play in the golden compass	11048	Pantalaimon
2234	who fought in the second sino japanese war	11090,11091	the Empire of Japan::the Republic of China
8491	who played the tin man in the wizard of oz 1939	11258	John Joseph Haley Jr
1109	list of countries in the horn of africa	11543	Eritrea::Ethiopia::Somalia::Djibouti
5226	how fast did germany take france in ww2	11636	In six weeks
279	what would the winner of the greek theater contest win	11775	a wreath of ivy
2283	who surrendered at the battle of fort sumter	12091	Major Anderson
2964	who was executed by firing squad in utah	12144	Ronnie Lee Gardner
8036	who are the rebels in a long way gone	12587	the RUF
7087	what were shoes made of in ancient rome	12787	leather::iron hobnails
2558	where are sugars added to proteins to form glycoprotein	12911	glycation
4222	when did the ancient chinese civilization begin and end	13066	256 BC::8500
7544	when did brides start wearing white wedding dresses	13168	1840
6090	what kind of crab are caught on deadliest catch	13310	opilio crab::king crab
6022	the negro act of 1740 was a reaction to what	13555	the Stono Rebellion in 1739
2459	what landform region is the geological foundation of canada	13642	Canadian Shield
1583	who is the most successful goal scorer in the history of the eufa champions league	13768	Cristiano Ronaldo
6574	who wrote hit me with your best shot	13818	Eddie Schwartz
3552	which artist is representative of the detroit blues style	13826	John Lee Hooker
1873	who sang better off dead in the movie better off dead	13831	E.G. Daily
653	who wrote the song i feel the earth move under my feet	13914	Carole King
402	when was soccer first introduced in the olympics	13932	1900
3502	when did the last wooly mammoths die out	14694	4,000 years ago
2893	when did the orange is the new black start	14777	July 11 , 2013
7262	how many episodes of mr. robot season three	14856	10
4936	who plays donald trump on saturday night live	14951	Taran Killam::Phil Hartman::Darrell Hammond::Jason Sudeikis::Alec Baldwin
6640	when does season 14 of keeping up with the kardashians	14984	October 1 , 2017
586	when did the dollar bill come into existence	14996	1862
1766	where does the last name chambers come from	15177	English origin
5602	who has the majority in congress right now	15193	Republican
3459	when will the next fifty shades of grey movie be released	15496	February 9 , 2018
659	who is the female lead in chitty chitty bang bang	15518	Sally Ann Howes
1180	in 2003 united states and british forces attacked the nation of	16087	Iraq
7657	who did the steelers play in the playoffs last year	16425,16426	Miami Dolphins::New England Patriots::Kansas City Chiefs
2996	what state has in god we trust on their license plate	16517	Florida
2606	where is lady and the tramp supposed to take place	16552	Midwestern town
3639	who plays barbara on girlfriends guide to divorce	16596	Retta
242	how many episodes in got season 7 pretty little liars	17141	20
1261	the largest source of electricity generation in pakistan	17249	fossil fuel
2861	how many episodes are in season 3 of fuller house	17374	18
2623	where does the cheese go on a sandwich	17415	between two slices of bread
755	what cheese is used to make the sicilian dessert cannoli	17520	ricotta
796	when did the us prime rate last change	17607	15 - Jun - 17
5805	who plays caleb in seven brides for seven brothers	17644	Matt Mattox
6571	where do the baxters live on last man standing	17811	Denver , Colorado
8221	when do they run the bulls in pamplona	17940	6 -- 14 July
6957	who wrote the song meet me in the middle	18049	Zedd::Sarah Aarons::The Monsters and the Strangerz::Grey::Jordan K. Johnson
6417	who became the leader of israel following moses death	18363	Joshua
7644	when did the marco polo app come out	18842	2014
8586	what is the most streamed song on youtube	18966	Despacito
2837	who made the most points in nba history	19007	Kareem Abdul - Jabbar
4283	who sang the song beauty school dropout in the movie grease	19264	Frankie Avalon
5324	who traded gold and slaves to build the asante kingdom	19453	Ashanti
1275	who decide bill is money bill or not	19578	the House of Representatives
7574	when did world war ii end in the pacific	19692	14 and 15 August 1945
1350	when does the new season if arrow start	19852	October 12 , 2017
2649	how many episodes in love hate season 1	20061	4
6981	when did the united states enter world war 2 in europe	20192	December 1941
3342	when did the song country roads come out	20399	April 12 , 1971
2403	most points scored by michael jordan in a playoff game	20530	63
4273	when does india receive most of the rainfall	20545	between June and October
4288	what type of water is in the ocean	21020	saline water
2658	which of the following is the slowest tempo indication adagio andante allegro vivace	21094	Adagio
6421	who played the daughter in back to the future 2	21234	Wendie Jo Sperber
7550	what episode is the family guy american dad crossover	21247	`` Hurricane ! ''
1004	what is meaning of peepal tree in english	21326	sacred fig
6070	when does the new winter big brother start	21432	February 7 , 2018
191	name of bad witch on wizard of oz	21618	Wicked Witch of the West
